first,last,email,phone,address
John,Doe,johndoe@example.com,1234567890,123 Main St
Jane,Smith,janesmith@example.com,9876543210,456 Elm St
Michael,Johnson,michaeljohnson@example.com,2468013579,789 Oak St
Emily,Williams,emilywilliams@example.com,1357924680,101 Pine St
Daniel,Brown,danielbrown@example.com,3692581470,202 Maple St
Olivia,Davis,oliviadavis@example.com,5820463719,303 Cedar St
William,Miller,williammiller@example.com,8024671359,404 Birch St
Sophia,Wilson,sophiawilson@example.com,6248709135,505 Spruce St
James,Lee,jameslee@example.com,9081726354,606 Oak St
Charlotte,Anderson,charlotteanderson@example.com,7192836450,707 Pine St
